Descripció,Norm,Art,Ap,Sub,Nº,Imp. mín.,Imp. màx.,Import,Bo,Ex,Punts,Esp.,Seq.
"CIRCULAR A MÉS DE 80 KM/H, ESTANT LIMITADA LA VELOCITAT A 30 KM/H ",RGC,50,1,,16,600,600,600,L,N,6,6,13092
"CIRCULAR ENTRE 41 I 60 KM/H, ESTANT LIMITADA LA VELOCITAT A 40 KM/H ",RGC,50,1,,17,100,100,100,L,N,0,6,13093
"CIRCULAR ENTRE 61 I 70 KM/H, ESTANT LIMITADA LA VELOCITAT A 40 KM/H ",RGC,50,1,,18,300,300,300,L,N,2,6,13094
"CIRCULAR ENTRE 71 I 80 KM/H, ESTANT LIMITADA LA VELOCITAT A 40 KM/H ",RGC,50,1,,19,400,400,400,L,N,4,6,13095
"CIRCULAR ENTRE 81 I 90 KM/H, ESTANT LIMITADA LA VELOCITAT A 40 KM/H ",RGC,50,1,,20,500,500,500,L,N,6,6,13096
"CIRCULAR A MÉS DE 90 KM/H, ESTANT LIMITADA LA VELOCITAT A 40 KM/H ",RGC,50,1,,21,600,600,600,L,N,6,6,13097
"CIRCULAR ENTRE 51 I 70 KM/H, ESTANT LIMITADA LA VELOCITAT A 50 KM/H ",RGC,50,1,,22,100,100,100,L,N,0,6,13098
"CIRCULAR ENTRE 71 I 80 KM/H, ESTANT LIMITADA LA VELOCITAT A 50 KM/H ",RGC,50,1,,23,300,300,300,L,N,2,6,13099
"CIRCULAR ENTRE 81 I 90 KM/H, ESTANT LIMITADA LA VELOCITAT A 50 KM/H ",RGC,50,1,,24,400,400,400,L,N,4,6,13100
"CIRCULAR ENTRE 91 I 100 KM/H, ESTANT LIMITADA LA VELOCITAT A 50 KM/H ",RGC,50,1,,25,500,500,500,L,N,6,6,13101
"CIRCULAR A MÉS DE 100 KM/H, ESTANT LIMITADA LA VELOCITAT A 50 KM/H ",RGC,50,1,,26,600,600,600,L,N,6,6,13102
"CIRCULAR ENTRE 21 I 40 KM/H, ESTANT LIMTADA LA VELOCITAT A 20 KM/H ",RGC,50,1,,43,100,100,100,L,N,0,6,20741
"CIRCULAR ENTRE 41 I 50 KM/H, ESTANT LIMITADA LA VELOCITAT A 20 KM/H ",RGC,50,1,,44,300,300,300,L,N,2,6,20742
"CIRCULAR ENTRE 51 I 60 KM/H, ESTANT LIMITADA LA VELOCITAT A 20 KM/H ",RGC,50,1,,45,400,400,400,L,N,4,6,20743
"CIRCULAR ENTRE 61 I 70 KM/H, ESTANT LIMITADA LA VELOCITAT A 20 KM/H ",RGC,50,1,,46,500,500,500,L,N,6,6,20744
"CIRCULAR A MÉS DE 70 KM/H, ESTANT LIMITADA LA VELOCITAT A 20 KM/H ",RGC,50,1,,47,600,600,600,L,N,6,6,20745
CIRCULAR ENTRE 21 I 40 KM/H ESTANT LIMITADA LA VELOCITAT A 20 KM/H ,RGC,52,1,,2,100,100,100,L,N,0,6,17537
CIRCULAR ENTRE 41 I 50 KM/H ESTANT LIMITADA LA VELOCITAT A 20 KM/H ,RGC,52,1,,3,300,300,300,L,N,2,6,17538
CIRCULAR ENTRE 51 I 60 KM/H ESTANT LIMITADA LA VELOCITAT A 20 KM/H ,RGC,52,1,,4,400,400,400,L,N,4,6,17539
CIRCULAR ENTRE 61 I 70 KM/H ESTANT LIMITADA LA VELOCITAT A 20 KM/H ,RGC,52,1,,5,500,500,500,L,N,6,6,17540
CIRCULAR A MES DE 70 KM/H ESTANT LIMITADA LA VELOCITAT A 20 KM/H ,RGC,52,1,,6,600,600,600,L,N,6,6,17541
"CIRCULAR SENSE PORTAR VISIBLE, A LA PART DE DARRERE DEL VEHICLE, EL SENYAL REGLAMENTARI DE LIMITACIÓ DE VELOCITAT FIXADA AL VEHICLE RESSENYAT",RGC,52,2,,1,6,100,90,L,N,0,,18673
REDUIR CONSIDERABLEMENT LA VELOCITAT SENSE QUE HI HAGI PERILL I SENSE AVISAR PRÈVIAMENT ELS VEHICLES QUE EL SEGUEIXEN,RGC,53,1,,1,200,200,200,L,N,0,,5821
REDUIR BRUSCAMENT LA VELOCITAT AMB RISC DE COL.LISIÓ PER ALS VEHICLES QUE EL SEGUEIXEN ,RGC,53,1,,2,200,200,200,L,N,0,,5822
CIRCULAR UNA BICICLETA DARRERE D'UN ALTRE VEHICLE SENSE DEIXAR UN ESPAI LLIURE QUE PERMETI PARAR-SE SENSE COL.LISIONAR EN CAS DE FRENADA BRUSCA,RGC,54,1,,3,200,200,200,L,N,0,,19572
"CIRCULAR DARRERE D'ALTRE VEHICLE SENSE DEIXAR ESPAI LLIURE QUE LI PERMETI DETENIR-SE, SENSE COL.LISIONAR, EN CAS DE FRENADA BRUSCA DEL QUE LI PRECEDEIX",RGC,54,1,,4,200,200,200,L,N,4,,21597
"CIRCULAR DARRERE D'UN ALTRE VEHICLE, SENSE INDICAR LA INTENCIÓ D'AVANÇAR-LO, AMB UNA SEPARACIÓ QUE NO PERMET, A LA VEGADA, ÉSSER AVANÇAT AMB SEGURETAT",RGC,54,2,,1,200,200,200,L,N,0,,5824
CELEBRAR UNA PROVA ESPORTIVA EN UNA VIA OBJECTE DE LA LEGISLACIÓ DE TRÀNSIT SENSE HAVER OBTINGUT L'AUTORITZACIÓ ADMINISTRATIVA PRÈVIA,RGC,55,1,,1,500,500,500,L,N,0,,5825
REALITZAR UNA MARXA CICLISTA O UN ALTRE EVENT SENSE HAVER OBTINGUT L'AUTORITZACIÓ ADMINISTRATIVA PRÈVIA ,RGC,55,1,,2,500,500,500,L,N,0,,5826
CELEBRAR UNA PROVA ESPORTIVA INCOMPLINT LES CONDICIONS FIXADES EN L'AUTORITZACIÓ ADMINISTRATIVA ,RGC,55,1,,3,500,500,500,L,N,0,,8210
"PORTAR A TERME UNA COMPETICIÓ O CARRERA ENTRE VEHICLES, SENSE AUTORITZACIÓ ",RGC,55,2,,2,500,500,500,L,N,6,,10007
"NO CEDIR EL PAS EN INTERSECCIÓ SENYALITZADA, OBLIGANT AL CON DUCTOR D'UN ALTRE VEHICLE, QUE CIRCULA AMB PRIORITAT, A FRE NAR O MANIOBRAR BRUSCAMENT",RGC,56,1,,10,200,200,200,L,N,4,,17297
NO OBEIR LA SENYAL DE DETENCIÓ DE L'AGENT EN SERVEI DE REGULACIÓ DE LA CIRCULACIÓ ,RGC,56,2,,1,200,200,200,L,N,4,,5986
"NO CEDIR EL PAS EN UNA INTERSECCIÓ REGULADA PER SEMÀFORS, OBLIGANT AL CONDUCTOR D'UN ALTRE VEHICLE QUE CIRCULA AMB PRIORITAT A FRENAR O MANIOBRAR BRUSCAMENT",RGC,56,3,,11,200,200,200,C,N,4,,25754
NO CEDIR EL PAS EN UNA INTERSECCIÓ SENYALITZADA AMB SENYAL DE CEDIU EL PAS ,RGC,56,5,,1,200,200,200,L,N,4,,17298
NO CEDIR EL PAS EN UNA INTERSECCIÓ SENYALITZADA AMB SENYAL DE STOP ,RGC,56,5,,2,200,200,200,L,N,4,,17299
"NO CEDIR EL PAS A UN VEHICLE QUE S'ACOSTA PER LA DRETA EN UNA INTERSECCIÓ SENSE SENYALITZAR, DE MANERA QUE SE'L FORÇA A MANIOBRAR BRUSCAMENT",RGC,57,1,,1,200,200,200,L,N,4,,5829
ACCEDIR A UNA VIA PAVIMENTADA PROVINENT D'UNA VIA SENSE PAVIMENTAR SENSE CEDIR EL PAS A UN VEHICLE QUE HI CIRCULA ,RGC,57,1,A,2,200,200,200,L,N,4,,14760
NO RESPECTAR LA PRIORITAT DE PAS D'UN VEHICLE QUE CIRCULA PER RAÍLS ,RGC,57,1,B,2,200,200,200,L,N,4,,14228
ACCEDIR A UNA GLORIETA SENSE CEDIR EL PAS A UN VEHICLE QUE CIRCULA PER LA MATEIXA ,RGC,57,1,C,4,200,200,200,L,N,4,,14230
"ACCEDIR, EL CONDUCTOR D'UNA BICICLETA, A UNA GLORIETA SENSE RESPECTAR LA PREFERÈNCIA DE PAS D'UN VEHICLE QUE CIRCULA PER LA MATEIXA",RGC,57,1,C,5,200,200,200,L,N,0,,17257
"NO MOSTRAR AMB PROU ANTELACIÓ, PER LA FORMA DE CIRCULAR I, ESPECIALMENT, AMB LA REDUCCIÓ PROGRESSIVA DE LA VELOCITAT, QUE ES CEDIRÀ EL PAS EN UNA INTERSECCIÓ",RGC,58,1,,1,200,200,200,L,N,0,,5833
ENTRAR AMB UN VEHICLE EN UNA INTERSECCIÓ AMB UNA SITUACIÓ TAL DE LA CIRCULACIÓ QUE QUEDA DETINGUT DE FORMA QUE IMPEDEIX O OBSTRUEIX LA CIRCULACIÓ TRANSVERSAL,RGC,59,1,,1,200,200,200,L,N,0,,5834
ENTRAR AMB UN VEHICLE EN PAS DE VIANANTS O PAS PER A CICLIS- TES AMB UNA SITUACIÓ TAL DE LA CIRCULACIÓ QUE QUEDA DETINGUT DE FORMA QUE IMPEDEIX O OBSTRUEIX LA CIRCULACIÓ TRANSVERSAL,RGC,59,1,,2,200,200,200,L,N,0,,5866
ESTAR DETINGUT EN INTERSECCIÓ AMB SEMÀFOR OBSTACULITZANT LA CIRCULACIÓ I NO SORTIR EL MÉS AVIAT POSSIBLE SEMPRE QUE ES PUGUI FER SENSE DIFICULTAR LA MARXA DELS ALTRES USUARIS,RGC,59,2,,1,200,200,200,L,N,0,,5874
"NO RESPECTAR PRIORITAT DE PAS DEL VEHICLE QUE ENTRA PRIMER EN UN TRAM DE VIA, SENSE SENYALITZACIÓ EXPRESSA, TANT ESTRET QUE FA IMPOSSIBLE O MOLT DIFICIL EL PAS SIMULTANI DE 2 VEHÍC",RGC,60,1,,1,200,200,200,L,N,0,,8208
NO CIRCULAR PEL LLOC INDICAT PER FER-HO EN UNA VIA AMB OBRES DE REPARACIÓ ,RGC,60,2,,1,200,200,200,L,N,0,,5877
SUPERAR A UN VEHICLE QUE ES TROBA DETINGUT ESPERANT PER PASSAR DAVANT D'UNA OBRA DE REPARACIÓ DE LA VIA ,RGC,60,4,,1,200,200,200,L,N,0,,5879
NO OBEIR LES INDICACIONS DEL PERSONAL DESTINAT A LA REGULACIÓ DEL PAS DE VEHICLES EN TRAMS EN OBRES ,RGC,60,5,,1,200,200,200,L,N,0,,5880
NO RESPECTAR EL SENYAL DE PRIORITAT DE PAS EN UN PONT O UNA OBRA DE PAS L'AMPLADA DEL QUAL NO PERMET L'ENCREUAMENT DE VEHICLES,RGC,61,1,,1,200,200,200,L,N,0,,5881
"NO RETROCEDIR EN PONT O OBRA DE PAS PER DEIXAR PASSAR A AL- TRE VEHICLE QUE CIRCULA EN SENTIT CONTRARI I GAUDEIX DE PRI- ORITAT DE PAS SENYALITZADA, QUAN L'ENCREUAMENT ES IMPOSSIBLE",RGC,61,2,,1,200,200,200,L,N,0,,5882
NO RESPECTAR L'ORDRE DE PREFERÈNCIA EN UN ESTRETALL NO SENYALITZAT EL CONDUCTOR DEL VEHICLE RESSENYAT QUE REGLAMENTÀRIAMENT HA DE FER MARXA ENRERE,RGC,62,1,,1,200,200,200,L,N,0,,5883
NO RESPECTAR LA PREFERÈNCIA DE PAS DE VEHICLE QUE CIRCULA EN SENTIT ASCENDENT EN UN TRAM ESTRET DE GRAN PENDENT QUE FA IMPOSSIBLE O MOLT DIFICIL EL PAS SIMULTANI DE DOS VEHICLES,RGC,63,1,,1,200,200,200,L,N,0,,5884
"NO RESPECTAR LA PRIORITAT DEL PAS DELS CICLISTES, AMB RISC PER AQUESTS ",RGC,64,,,1,200,200,200,L,N,4,,10009
NO RESPECTAR LA PRIORITAT DEL PAS DELS CICLISTES  ,RGC,64,,,2,200,200,200,L,N,0,,13650
"NO RESPECTAR LA PRIORITAT DE PAS DELS VIANANTS, AMB RISC PER AQUESTS ",RGC,65,,,1,200,200,200,L,N,4,,13651
NO RESPECTAR LA PRIORITAT DE PAS DELS VIANANTS  ,RGC,65,,,2,200,200,200,L,N,0,,13653
NO RESPECTAR LA PRIORITAT DE PAS DELS ANIMALS QUE CIRCULEN PER UNA CARRERADA DEGUDAMENT SENYALITZADA ,RGC,66,1,,1,200,200,200,L,N,0,,24511
GIRAR AMB EL VEHICLE PER ENTRAR EN UNA ALTRA VIA SENSE DONAR LA PRIORITAT DE PAS ALS ANIMALS QUE LA TRAVESSEN ,RGC,66,1,,2,200,200,200,L,N,0,,24512
TRAVESSAR AMB UN VEHICLE EL VORAL SENSE DONAR LA PRIORITAT DE PAS ALS ANIMALS QUE HI CIRCULEN PERQUÈ NO DISPOSEN DE CARRERADA,RGC,66,1,,3,200,200,200,L,N,0,,24513
"FER ÚS DE LA PRIORITAT DE PAS, EL CONDUCTOR D'UN VEHICLE DE SERVEI D'URGÈNCIA, SENSE TROBAR-SE EN SERVEI URGENT ",RGC,67,1,,1,200,200,200,L,N,0,,5910
"CONDUIR UN VEHICLE PRIORITARI, EN SERVEI URGENT, SENSE ADOPTAR LES PRECAUCIONS NECESSÀRIES PER NO POSAR EN PERILL A LA RESTA D'USUARIS",RGC,68,1,,1,200,200,200,L,N,0,,5911
"NO FACILITAR EL PAS A UN VEHICLE PRIORITARI QUE CIRCULA EN SERVEI D'URGÈNCIA, DESPRÉS DE PERCEBRE ELS SENYALS QUE ANUNCIEN LA SEVA PROXIMITAT",RGC,69,,,3,200,200,200,L,N,0,,13662
NO DETENIR EL VEHICLE AMB LES DEGUDES PRECAUCIONS EN EL COSTAT DRET QUAN UN VEHICLE POLICIAL MANIFESTA LA SEVA PRESÈNCIA REGLAMENTARIAMENT,RGC,69,,,4,200,200,200,L,N,0,,13663
"CIRCULAR EN SERVEI D'URGÈNCIA, EL CONDUCTOR D'UN VEHICLE NO PRIORITARI, SENSE MOTIU ",RGC,70,1,,1,200,200,200,L,N,0,,5927
NO SENYALITZAR DE FORMA REGLAMENTÀRIA LA CIRCULACIÓ D'UN VEHICLE NO PRIORITARI EN SERVEI D'URGÈNCIA ,RGC,70,1,,2,200,200,200,L,N,0,,5928
NO FACILITAR EL PAS A UN VEHICLE NO PRIORITARI EN SERVEI D'URGÈNCIA ,RGC,70,2,,1,200,200,200,L,N,0,,5930
INCORPORAR-SE A LA CIRCULACIÓ EL CONDUCTOR D'UN VEHICLE SENSE CEDIR EL PAS A ALTRES VEHICLES ,RGC,72,1,,3,200,200,200,L,N,0,,13664
"INCORPORAR-SE A LA CIRCULACIÓ EL CONDUCTOR D'UN VEHICLE SENSE CEDIR EL PAS A ALTRES VEHICLES, EXISTINT PERILL PER A ALTRES USUARIS",RGC,72,1,,4,200,200,200,L,N,4,,13665
"INCOPORAR-SE A LA CIRCULACIÓ PROCEDENT DE LES VIES D'ACCÈS O ZONES DE SERVEI, O D'UNA PROPIETAT LIMÍTROF, SENSE CEDIR EL PAS A ALTRES VEHICLES",RGC,72,1,,5,200,200,200,L,N,0,,13666
"INCOPORAR-SE A LA CIRCULACIÓ PROCEDENT DE LES VIES D'ACCÈS O ZONES DE SERVEI, O D'UNA PROPIETAT LIMÍTROF, SENSE CEDIR EL PAS A ALTRES VEHICLES, AMB PERILL PER A ALTRES USUARIS",RGC,72,1,,6,200,200,200,L,N,4,,13667
"INCORPORAR-SE A UNA VIA D'ÚS PÚBLIC, DES D'UN CAMÍ EXCLUSIVA MENT PRIVAT, SENSE CEDIR PAS A ALTRES VEHICLES QUE CIRCULEN ",RGC,72,2,,2,200,200,200,L,N,0,,13668
"INCORPORAR-SE A UNA VIA D'ÚS PÚBLIC, DES D'UN CAMÍ EXCLUSIVA MENT PRIVAT, SENSE CEDIR PAS A ALTRES VEHICLES QUE CIRCULEN AMB PERILL PER A ALTRES USUARIS",RGC,72,2,,3,200,200,200,L,N,4,,13669
INCORPORAR-SE A LA CIRCULACIÓ SENSE SENYALITZAR ÒPTICAMENT LA MANIOBRA ,RGC,72,3,,1,6,100,90,L,N,0,,5934
"INCORPORAR-SE A LA CALÇADA, DES D'UN CARRIL D'ACCELERACIÓ, SENSE CEDIR EL PAS A ALTRES VEHICLES ",RGC,72,4,,2,200,200,200,L,N,0,,13670
"INCORPORAR-SE A LA CALÇADA, DES D'UN CARRIL D'ACCELERACIÓ, SENSE CEDIR EL PAS A ALTRES VEHICLES, AMB PERILL PER ALTRES USUARIS QUE TRANSITEN PER LA CALÇADA A LA QUE S'INCORPORA",RGC,72,4,,3,200,200,200,L,N,4,,13671
NO FACILITAR LA INCORPORACIÓ A LA CIRCULACIÓ D'ALTRES VEHICLES ,RGC,73,1,,1,6,100,90,L,N,0,,5936
NO FACILITAR A UN VEHICLE DE TRANSPORT COL.LECTIU DE VIATGERS LA INCORPORACIÓ A LA CIRCULACIÓ DES D'UNA PARADA SENYALITZADA,RGC,73,1,,2,6,100,90,L,N,0,,5937
"EN POBLAT, NO FACILITAR LA INCORPORACIÓ A LA CIRCULACIÓ A UN VEHICLE DE TRANSPORT COL.LECTIU DE VIATGERS DES D'UNA PARADA SENYALITZADA",RGC,73,2,,1,6,100,90,L,N,0,,5938
FER UN CANVI DE DIRECCIÓ SENSE ADVERTIR-HO PRÈVIAMENT AMB PROU ANTELACIÓ ALS CONDUCTORS DELS VEHICLES QUE CIRCULEN DARRERE,RGC,74,1,,1,200,200,200,L,N,0,,5940
FER UN CANVI DE DIRECCIÓ PER PRENDRE UNA ALTRA VIA AMB PERILL PER ALS QUE S'ACOSTEN EN SENTIT CONTRARI ,RGC,74,1,,2,200,200,200,L,N,0,,5941
FER UN CANVI DE DIRECCIÓ A L'ESQUERRA SENSE PROU VISIBILITAT ,RGC,74,1,,3,200,200,200,L,N,0,,5942
DESPLAÇAR-SE LATERALMENT PER CANVIAR DE CARRIL SENSE RESPECTAR LA PRIORITAT DEL VEHICLE QUE CIRCULA PEL CARRIL QUE ES PRETÉN OCUPAR,RGC,74,2,,1,200,200,200,L,N,0,,5943
NO ADVERTIR EL PROPÒSIT DE REALITZAR LA MANIOBRA DE CANVI DE DIRECCIÓ AMB ELS SENYALS ÒPTICS CORRESPONENTS ,RGC,75,1,,1,200,200,200,L,N,0,,13672
NO ADVERTIR LA MANIOBRA DE CANVI DE DIRECCIÓ AMB SUFICIENT ANTELACIÓ ,RGC,75,1,,2,200,200,200,L,N,0,,24521
FER UN CANVI DE DIRECCIÓ SENSE COL.LOCAR EL VEHICLE EN EL LLOC ADEQUAT AMB L'ANTELACIÓ NECESSÀRIA ,RGC,75,1,,3,200,200,200,L,N,0,,24522
NO FER LA MANIOBRA DE CANVI DE DIRECCIÓ EN EL MENOR ESPAI I TEMPS POSSIBLES ,RGC,75,1,,4,200,200,200,L,N,0,,24523
FER UN CANVI DE DIRECCIÓ CAP A LA DRETA EN UNA CALÇADA DE SENTIT ÚNIC SENSE SITUAR-SE TANT A PROP COM PUGUI DE LA VORA DRETA DE LA CALÇADA,RGC,75,1,,5,200,200,200,L,N,0,,24681
FER UN CANVI DE DIRECCIÓ CAP A L'ESQUERRA EN UNA CALÇADA DE SENTIT ÚNIC SENSE SITUAR-SE TANT A PROP COM PUGUI DE LA VORA ESQUERRA DE LA CALÇADA,RGC,75,1,,6,200,200,200,L,N,0,,24682
FER CANVI DE DIRECCIÓ CAP A L'ESQUERRA EN CALÇADA AMB DOBLE SENTIT SENSE SITUAR-SE TANT A PROP COM PUGUI DE LA MARCA LON GITUDINAL DE SEPARACIÓ ENTRE SENTITS O L'EIX DE LA CALÇADA,RGC,75,1,,7,200,200,200,L,N,0,,24683
FER CANVI DE DIRECCIÓ CAP A L'ESQUERRA EN UNA CALÇADA AMB DOBLE SENTIT DE CIRCULACIÓ SITUANT EL VEHICLE DE FORMA QUE ENVAEIX LA ZONA DESTINADA AL SENTIT CONTRARI,RGC,75,1,,8,200,200,200,L,N,0,,24684
"FER CANVI DE DIRECCIÓ CAP A L'ESQUERRA EN CALÇADA AMB DOBLE SENTIT DE CIRCULACIÓ I TRES CARRILS SEPARATS PER LÍNIES LONG ITUDINALS DISCONTÍNUES, SENSE COL.LOCAR-SE EN CARRIL CENTRAL",RGC,75,1,,9,200,200,200,L,N,0,,24685
FER UN CANVI DE DIRECCIÓ CAP A L'ESQUERRA SENSE DEIXAR A L'ESQUERRA EL CENTRE DE LA INTERSECCIÓ ,RGC,75,1,,10,200,200,200,L,N,0,,24686
NO ADOPTAR PRECAUCIONS NECESSÀRIES PER EVITAR PERILLS EN FER UN CANVI DE DIRECCIÓ SI PER LES DIMENSIONS DEL VEHICLE O AL- TRES CIRCUMSTÀNCIES NO ÉS POSSIBLE FER-LO REGLAMENTARIAMENT,RGC,76,1,,1,200,200,200,L,N,0,,5966
"FER CANVI DE DIRECCIÓ CAP A L'ESQUERRA AMB UN CICLE O CICLO- MOTOR SENSE SITUAR-SE A LA DRETA, FORA DE LA CALÇADA QUAN NO HI HA UN CARRIL CONDICIONAT PER EFECTUAR EL GIR A L'ESQUERRA",RGC,76,2,,1,200,200,200,L,N,0,,5967
EFECTUAR EL CANVI DE SENTIT DE LA MARXA SENSE ESCOLLIR EL LLOC ADEQUAT PER EFECTUAR LA MANIOBRA DE MANERA QUE S'INTERCEPTI LA VIA EL MENOR TEMPS POSSIBLE,RGC,78,1,,1,200,200,200,L,N,0,,5968
EFECTUAR EL CANVI DE SENTIT DE LA MARXA SENSE ADVERTIR AQUEST PROPÒSIT AMB ELS SENYALS PRECEPTIUS AMB PROU ANTELACIÓ,RGC,78,1,,2,200,200,200,L,N,0,,5969
EFECTUAR EL CANVI DE SENTIT DE LA MARXA DE MANERA QUE S'OBSTACULITZA ELS ALTRES USUARIS DE LA VIA ,RGC,78,1,,4,200,200,200,L,N,0,,5971
"QUEDAR-SE A LA CALÇADA PER EFECTUAR CANVI DE SENTIT, PODENT SORTIR PEL COSTAT DRET, DE FORMA QUE EL VEHICLE IMPEDEIX CON TINUAR LA MARXA DELS VEHICLES QUE CIRCULEN AL SEU DARRERE",RGC,78,1,,5,200,200,200,L,N,0,,5972
REALITZAR UN CANVI DE SENTIT DE LA MARXA POSANT EN PERILL A ALTRES USUARIS DE LA VIA ,RGC,78,1,,6,200,200,200,L,N,3,,13673
"REALITZAR, EL CONDUCTOR D'UNA BICICLETA, UN CANVI DE SENTIT DE LA MARXA POSANT EN PERILL A ALTRES USUARIS DE LA VIA ",RGC,78,1,,7,200,200,200,L,N,0,,21160
EFECTUAR UN CANVI DE SENTIT DE LA MARXA EN UN PAS A NIVELL O EN UN TRAM DE VIA AFECTAT PEL SENYAL DE TÚNEL ,RGC,79,1,,1,200,200,200,L,N,3,,5973
EFECTUAR UN CANVI DE SENTIT DE LA MARXA EN UN TRAM DE VIA ON ES PROHIBEIX L'AVANÇAMENT ,RGC,79,1,,2,200,200,200,L,N,3,,5974
EFECTUAR UN CANVI DE SENTIT DE LA MARXA EN LLOC PROHIBIT  ,RGC,79,1,,3,200,200,200,L,N,3,,8427
"EFECTUAR, AMB UN VEHICLE DE MOBILITAT PERSONAL (VMP), UN CANVI DE SENTIT DE LA MARXA EN LLOC PROHIBIT ",RGC,79,1,,4,200,200,200,L,N,0,,20740
CIRCULAR MARXA ENRERE QUAN ES POT EVITAR AMB UNA ALTRA MANIOBRA ,RGC,80,1,,2,200,200,200,L,N,0,,13160
"CIRCULAR MARXA ENRERE DURANT UN RECORREGUT SUPERIOR A 15 METRES, PER EFECTUAR UNA MANIOBRA DE LA QUAL ÉS COMPLE MENTÀRIA",RGC,80,2,,1,200,200,200,L,N,0,,5577
"CIRCULAR MARXA ENRERE DE MANERA QUE S'ENVAEIX UNA CRUÏLLA DE VIES, PER EFECTUAR UNA MANIOBRA DE LA QUAL ÉS COMPLEMEN TÀRIA",RGC,80,2,,2,200,200,200,L,N,0,,5581
"CIRCULAR MARXA ENRERE, EN SENTIT CONTRARI A L'ESTABLERT  ",RGC,80,4,,1,500,500,500,L,N,6,,10011
NO EFECTUAR LENTAMENT LA MANIOBRA DE MARXA ENRERE  ,RGC,81,1,,1,200,200,200,L,N,0,,5578
EFECTUAR LA MANIOBRA DE MARXA ENRERE SENSE ADOPTAR LES PRECAUCIONS NECESSÀRIES PER NO CAUSAR PERILL A LA RESTA D'USUARIS DE LA VIA,RGC,81,1,,3,200,200,200,L,N,0,,5580
EFECTUAR LA MANIOBRA DE MARXA ENRERE SENSE ADVERTIR-HO AMB ELS SENYALS PRECEPTIUS ,RGC,81,2,,1,200,200,200,L,N,0,,13674
NO DESISTIR DE LA MANIOBRA DE MARXA ENRERA O NO EFECTUAR-LA AMB LA MÀXIMA PRECAUCIÓ TAN AVIAT COM SENT L'AVÍS O S'ADONA DE LA PROXIMITAT D'UN ALTRE VEHICLE,RGC,81,3,,1,200,200,200,L,N,0,,5677
NO DESISTIR DE LA MANIOBRA DE MARXA ENRERA O NO EFECTUAR-LA AMB LA MÀXIMA PRECAUCIÓ TAN AVIAT COM SENT L'AVÍS O S'ADONA DE LA PROXIMITAT D'UNA PERSONA,RGC,81,3,,2,200,200,200,L,N,0,,5678
NO DESISTIR DE LA MANIOBRA DE MARXA ENRERA O NO EFECTUAR-LA AMB LA MÀXIMA PRECAUCIÓ TAN AVIAT COM SENT L'AVÍS O S'ADONA DE LA PROXIMITAT D'UN ANIMAL,RGC,81,3,,3,200,200,200,L,N,0,,5679
NO DESISTIR DE LA MANIOBRA DE MARXA ENRERA O NO EFECTUAR-LA AMB LA MÀXIMA PRECAUCIÓ QUAN HO EXIGEIX LA SEGURETAT ,RGC,81,3,,4,200,200,200,L,N,0,,5680
AVANÇAR A UN VEHICLE PER LA DRETA  ,RGC,82,1,,1,200,200,200,L,N,0,,5987
AVANÇAR UN VEHICLE PER LA DRETA SENSE QUE HI HAGI PROU ESPAI PER FER-HO O SENSE ADOPTAR LES MÀXIMES PRECAUCIONS ,RGC,82,2,,1,200,200,200,L,N,0,,5988
"EN POBLAT, AVANÇAR PER LA DRETA EN UNA CALÇADA D'ALMENYS DOS CARRILS DE CIRCULACIÓ EN EL MATEIX SENTIT DE LA MARXA, AMB PERILL PER A LA RESTA D'USUARIS",RGC,82,3,,1,200,200,200,L,N,0,,5989
"AVANÇAR EN UNA CALÇADA DE VARIS CARRILS EN EL MATEIX SENTIT DE LA MARXA I QUEDAR-SE EN EL CARRIL UTILITZAT, ENTORPINT A ALTRES VEHICLES QUE CIRCULEN DARRERE A MÉS VELOCITAT",RGC,83,1,,1,200,200,200,L,N,0,,5995
AVANÇAR CANVIANT DE CARRIL QUAN HI HA TANTA DENSITAT DE CIRCULACIÓ QUE ELS VEHICLES OCUPEN TOTA L'AMPLADA DE LA CALÇADA,RGC,83,2,,1,200,200,200,L,N,0,,5996
EFECTUAR UN AVANÇAMENT QUE REQUEREIX UN DESPLAÇAMENT LATERAL SENSE ADVERTIR-HO AMB PROU ANTELACIÓ ,RGC,84,1,,1,200,200,200,L,N,0,,5997
AVANÇAR A VARIS VEHICLES DE FORMA QUE EN PRESENTAR-SE UN VEHICLE EN SENTIT CONTRARI EL VEHICLE QUE AVANÇA NO POT DES- VIAR-SE A LA DRETA SENSE PERILL PER ALS VEHICLES AVANÇATS,RGC,84,1,,4,200,200,200,L,N,0,,6000
"EFECTUAR UN AVANÇAMENT AMB PERILL PER ALS QUE CIRCULEN EN SENTIT CONTRARI, OBLIGANT-LOS A MANIOBRAR BRUSCAMENT ",RGC,84,1,,5,200,200,200,L,N,4,,10012
"INICIAR UN AVANÇAMENT SENSE QUE EXISTEIXI ESPAI LLIURE SUFICIENT EN EL CARRIL QUE S'UTILITZA PER A LA MANIOBRA, AMB PERILL PELS QUE CIRCULEN EN SENTIT CONTRARI",RGC,84,1,,6,200,200,200,L,N,4,,13688
"INICIAR UN AVANÇAMENT SENSE QUE EXISTEIXI ESPAI LLIURE SUFICIENT EN EL CARRIL QUE S'UTILITZA PER A LA MANIOBRA, DESTORBANT ELS QUE CIRCULEN EN SENTIT CONTRARI",RGC,84,1,,7,200,200,200,L,N,4,,13689
